Docket Number,License Number,"Plant Name, Unit Number",NRC Reactor Unit Web Page,Plant Location,NRC Region,State,Parent Company Utility Name,Licensee,Parent Company Website,Reactor Type,Containment Type,Nuclear Steam System Supplier and Design Type,Architect-Engineer,Constructor Name,Construction Permit Issued,Year Operating License Issued,Operating License Issued,Commercial Operation,Operating License Expires,Licensed MWt,Current Reactor Age,License Length,Time Remaining,% License Remaining
5000313,DPR-51,"Arkansas Nuclear One, Unit 1",ANO 1,"London, AR (6 MI WNW of Russellville,  AR)",4,AR,"Entergy Nuclear Operations, Inc.","Entergy Operations, Inc.",www.entergy-nuclear.com,PWR,DRYAMB,B&W LLP,BECH,BECH,12/6/1968,1974,5/21/1974,12/19/1974,5/20/2034,2568,46,60,13.39,22.30%
5000368,NPF-6,"Arkansas Nuclear One, Unit 2",ANO 2,"London, AR (6 MI WNW of Russellville,  AR)",4,AR,"Entergy Nuclear Operations, Inc.","Entergy Operations, Inc.",www.entergy-nuclear.com,PWR,DRYAMB,CE,BECH,BECH,12/6/1972,1978,9/1/1978,3/26/1980,7/17/2038,3026,42,60,17.55,29.30%
5000334,DPR-66,"Beaver Valley Power Station, Unit 1",Beaver Valley 1,"Shippingport, PA(17 MI W of McCandless,  PA)",1,PA,Energy Harbor Corp.,Energy Harbor Nuclear Generation LLC and Energy Harbor Nuclear Corp.,www.energyharbor.com,PWR,DRYAMB,WEST 3LP,S&W,S&W,6/26/1970,1976,7/2/1976,10/1/1976,1/29/2036,2900,44,60,15.09,25.10%
5000412,NPF-73,"Beaver Valley Power Station, Unit 2",Beaver Valley 2,"Shippingport, PA (17 MI W of McCandless,  PA)",1,PA,Energy Harbor Corp.,Energy Harbor Nuclear Generation LLC and Energy Harbor Nuclear Corp.,www.energyharbor.com,PWR,DRYAMB,WEST 3LP,S&W,S&W,5/3/1974,1987,8/14/1987,11/17/1987,5/27/2047,2900,33,60,26.42,44.00%
5000456,NPF-72,"Braidwood Station, Unit 1",Braidwood 1,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1987,7/2/1987,7/29/1988,10/17/2046,3645,33,60,25.81,43.00%
5000457,NPF-77,"Braidwood Station, Unit 2",Braidwood 2,"Braceville, IL (20 MI SSW of Joliet,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1988,5/20/1988,10/17/1988,12/18/2047,3645,32,60,26.98,45.00%
5000259,DPR-33,"Browns Ferry Nuclear Plant, Unit 1",Browns Ferry 1,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,AL,Tennessee Valley Authority,Tennessee Valley Authority,www.tva.gov,BWR,MARK 1,GE 4,TVA,TVA,5/10/1967,1973,12/20/1973,8/1/1974,12/20/2033,3952,47,60,12.98,21.60%
5000260,DPR-52,"Browns Ferry Nuclear Plant, Unit 2",Browns Ferry 2,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,AL,Tennessee Valley Authority,Tennessee Valley Authority,www.tva.gov,BWR,MARK 1,GE 4,TVA,TVA,5/10/1967,1974,6/28/1974,3/1/1975,6/28/2034,3952,46,60,13.5,22.50%
5000296,DPR-68,"Browns Ferry Nuclear Plant, Unit 3",Browns Ferry 3,"Limestone County, AL (10 miles south of Athens, AL  and 32 MI W of Huntsville,  AL)",2,AL,Tennessee Valley Authority,Tennessee Valley Authority,www.tva.gov,BWR,MARK 1,GE 4,TVA,TVA,7/31/1968,1976,7/2/1976,3/1/1977,7/2/2036,3952,44,60,15.51,25.90%
5000325,DPR-71,"Brunswick Steam Electric Plant, Unit 1",Brunswick 1,"Southport, NC (20 MI S of Wilmington, NC)",2,NC,Duke Energy,"Duke Energy Progress, LLC",www.duke-energy.com,BWR,MARK 1,GE 4,UE&C,BRRT,2/7/1970,1976,9/8/1976,3/18/1977,9/8/2036,2923,44,60,15.7,26.20%
5000324,DPR-62,"Brunswick Steam Electric Plant, Unit 2",Brunswick 2,"Southport, NC (20 MI S of Wilmington, NC)",2,NC,Duke Energy,"Duke Energy Progress, LLC",www.duke-energy.com,BWR,MARK 1,GE 4,UE&C,BRRT,2/7/1970,1974,12/27/1974,11/3/1975,12/27/2034,2923,46,60,14,23.30%
5000454,NPF-37,"Byron Station, Unit 1",Byron 1,"Byron, Il (17 MI SW of Rockford,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1985,2/14/1985,9/16/1985,10/31/2044,3645,35,60,23.85,39.70%
5000455,NPF-66,"Byron Station, Unit 2",Byron 2,"Byron, Il (17 MI SW of Rockford,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,WEST 4LP,S&L,CWE,12/31/1975,1987,1/30/1987,8/2/1987,11/6/2046,3645,33,60,25.87,43.10%
5000483,NPF-30,Callaway Plant,Callaway,"Fulton, MO (25 MI ENE of Jefferson City,  MO)",4,MO,AmerenUE,Union Electric Co.,www.ameren.com,PWR,DRYAMB,WEST 4LP,BECH,DANI,4/16/1976,1984,10/18/1984,12/19/1984,10/18/2044,3565,36,60,23.81,39.70%
5000317,DPR-53,"Calvert Cliffs Nuclear Power Plant, Unit 1",Calvert Cliffs 1,"Lusby, MD (40 MI S of Annapolis,  MD)",1,MD,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,CE,BECH,BECH,7/7/1969,1974,7/31/1974,5/8/1975,7/31/2034,2737,46,60,13.59,22.60%
5000318,DPR-69,"Calvert Cliffs Nuclear Power Plant, Unit 2",Calvert Cliffs 2,"Lusby, MD (40 MI S of Annapolis,  MD)",1,MD,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,PWR,DRYAMB,CE,BECH,BECH,7/7/1969,1976,8/13/1976,4/1/1977,8/13/2036,2737,44,60,15.63,26.00%
5000413,NPF-35,"Catawba Nuclear Station, Unit 1",Catawba 1,"York, SC (18 MI S of Charlotte, NC)",2,NC,Duke Energy,"Duke Energy Carolinas, LLC",www.duke-energy.com,PWR,ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,1985,1/17/1985,6/29/1985,12/5/2043,3469,35,60,22.94,38.20%
5000414,NPF-52,"Catawba Nuclear Station, Unit 2",Catawba 2,"York, SC (18 MI S of Charlotte, NC)",2,NC,Duke Energy,"Duke Energy Carolinas, LLC",www.duke-energy.com,PWR,ICECND,WEST 4LP,DUKE,DUKE,8/7/1975,1986,5/15/1986,8/19/1986,12/5/2043,3411,34,60,22.94,38.20%
5000461,NPF-62,"Clinton Power Station, Unit 1",Clinton,"Clinton, IL (23 MI SSE of Bloomington, IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 3,GE 6,S&L,BALD,2/24/1976,1987,4/17/1987,11/24/1987,9/29/2026,3473,33,40,5.75,14.40%
5000397,NPF-21,Columbia Generating Station,Columbia Generating Station,"Richland, WA (20 MI NNE of Pasco, WA)",4,WA,Energy Northwest,Energy Northwest,www.energy-northwest.com,BWR,MARK 2,GE 5,B&R,BECH,3/19/1973,1984,4/13/1984,12/13/1984,12/20/2043,3544,36,60,22.98,38.30%
5000445,NPF-87,"Comanche Peak Nuclear Power Plant, Unit 1",Comanche Peak 1,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,TX,Vistra Energy Corp.,Vistra Operations Company LLC – Operator,www.vistraenergy.com/,PWR,DRYAMB,WEST 4LP,G&H,BRRT,12/19/1974,1990,4/17/1990,8/13/1990,2/8/2030,3612,30,40,9.11,22.80%
5000446,NPF-89,"Comanche Peak Nuclear Power Plant, Unit 2",Comanche Peak 2,"Glen Rose, TX (40 MI SW of Fort Worth, TX)",4,TX,Vistra Energy Corp.,Vistra Operations Company LLC – Operator,www.vistraenergy.com/,PWR,DRYAMB,WEST 4LP,BECH,BRRT,12/19/1974,1993,4/6/1993,8/3/1993,2/2/2033,3612,27,40,12.1,30.20%
5000298,DPR-46,Cooper Nuclear Station,Cooper,"Brownville, NE (23 MI S of Nebraska City,  NE)",4,NE,Nebraska Public Power District,Nebraska Public Power District,www.nppd.com,BWR,MARK 1,GE 4,B&R,B&R,6/4/1968,1974,1/18/1974,7/1/1974,1/18/2034,2419,46,60,13.06,21.80%
5000346,NPF-3,"Davis-Besse Nuclear Power Station, Unit 1",Davis-Besse,"Oak Harbor, OH (21 MI ESE of Toledo,  OH)",3,OH,Energy Harbor Corp.,Energy Harbor Nuclear Generation LLC and Energy Harbor Nuclear Corp.,www.energyharbor.com,PWR,DRYAMB,B&W RLP,BECH,B&W,3/24/1971,1977,4/22/1977,7/31/1978,4/22/2037,2817,43,60,16.32,27.20%
5000275,DPR-80,"Diablo Canyon Nuclear Power Plant, Unit 1",Diablo Canyon 1,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,CA,Pacific Gas & Electric Company,Pacific Gas & Electric Co.,www.pge.com,PWR,DRYAMB,WEST 4LP,PG&E,PG&E,4/23/1968,1984,11/2/1984,5/7/1985,11/2/2024,3411,36,40,3.84,9.60%
5000323,DPR-82,"Diablo Canyon Nuclear Power Plant, Unit 2",Diablo Canyon 2,"Avila Beach, CA (12 MI WSW of San Luis Obispo,  CA)",4,CA,Pacific Gas & Electric Company,Pacific Gas & Electric Co.,www.pge.com,PWR,DRYAMB,WEST 4LP,PG&E,PG&E,12/9/1970,1985,8/26/1985,3/13/1986,8/26/2025,3411,35,40,4.65,11.60%
5000315,DPR-58,"Donald C. Cook Nuclear Plant, Unit 1",D.C. Cook 1,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,MI,Indiana Michigan Power Company,Indiana Michigan Power Co.,www.indianamichiganpower.com,PWR,ICECND,WEST 4LP,AEP,AEP,3/25/1969,1974,10/25/1974,8/28/1975,10/25/2034,3304,46,60,13.82,23.00%
5000316,DPR-74,"Donald C. Cook Nuclear Plant, Unit 2",D.C. Cook 2,"Bridgman, MI (13 M S of Benton Harbor, MI)",3,MI,Indiana Michigan Power Company,Indiana Michigan Power Co.,www.indianamichiganpower.com,PWR,ICECND,WEST 4LP,AEP,AEP,3/25/1969,1977,12/23/1977,7/1/1978,12/23/2037,3468,43,60,16.99,28.30%
5000237,DPR-19,"Dresden Nuclear Power Station, Unit 2",Dresden 2,"Morris, IL (25 M SW of Joliet, IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 1,GE 3,S&L,UE&C,1/10/1966,1969,12/22/1969,6/9/1970,12/22/2029,2957,51,60,8.98,15.00%
5000249,DPR-25,"Dresden Nuclear Power Station, Unit 3",Dresden 3,"Morris, IL (25 M SW of Joliet, IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 1,GE 3,S&L,UE&C,10/14/1966,1971,1/12/1971,11/16/1971,1/12/2031,2957,49,60,10.04,16.70%
5000331,DPR-49,Duane Arnold Energy Center,Duane Arnold,"Palo, IA (8 MI NW of Cedar Rapids,  IA)",3,IA,"NextEra Energy, Inc. with principal subsidiaries  Florida Power & Light Co. and NextEra Energy Resources, LLC","NextEra Duane Arnold, LLC",nexteraenergy.com,BWR,MARK 1,GE 4,BECH,BECH,6/22/1970,1974,2/22/1974,2/1/1975,2/21/2034,1912,46,60,13.15,21.90%
5000321,DPR-57,"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,"Baxley , GA (20 MI S of Vidalia,  GA)",2,GA,Southern Nuclear Operating Company,Southern Nuclear Operating Co.,www.southerncompany.com,BWR,MARK 1,GE 4,BECH,GPC,9/30/1969,1974,10/13/1974,12/31/1975,8/6/2034,2804,46,60,13.61,22.70%
5000366,NPF-5,"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,"Baxley , GA (20 MI S of Vidalia,  GA)",2,GA,Southern Nuclear Operating Company,Southern Nuclear Operating Co.,www.southerncompany.com,BWR,MARK 1,GE 4,BECH,GPC,12/27/1972,1978,6/13/1978,9/5/1979,6/13/2038,2804,42,60,17.46,29.10%
5000341,NPF-43,"Fermi, Unit 2",Fermi 2,"Newport, MI (25 MI NE of Toledo,  OH)",3,OH,DTE Electric Company (DTE),DTE Electric Company,www.dteenergy.com,BWR,MARK 1,GE 4,S&L,DANI,9/26/1972,1985,3/20/1985,1/23/1988,3/20/2045,3486,35,60,24.23,40.40%
5000416,NPF-29,"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,"Port Gibson, MS (20 MI S of Vicksburg,  MS)",4,MS,"Entergy Nuclear Operations, Inc.","Entergy Operations, Inc.",www.entergy-nuclear.com,BWR,MARK 3,GE 6,BECH,BECH,9/4/1974,1984,11/1/1984,7/1/1985,11/1/2044,4408,36,60,23.85,39.80%
5000261,DPR-23,"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,"Hartsville, SC (26 MI NW of Florence,  SC)",2,SC,Duke Energy,"Duke Energy Progress, LLC",www.duke-energy.com,PWR,DRYAMB,WEST 3LP,EBSO,EBSO,4/13/1967,1970,7/31/1970,3/7/1971,7/31/2030,2339,50,60,9.59,16.00%
5000354,NPF-57,"Hope Creek Generating Station, Unit 1",Hope Creek 1,"Hancocks Bridge, NJ (18 MI SE of Wilmington,  DE)",1,DE,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",www.pseg.com,BWR,MARK 1,GE 4,BECH,BECH,11/4/1974,1986,7/25/1986,12/20/1986,4/11/2046,3902,34,60,25.29,42.20%
5000286,DPR-64,"Indian Point Nuclear Generating, Unit 3",Indian Point 3,"Buchanan, NY (24 MI N of New York,  NY)",1,NY,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",www.entergy-nuclear.com,PWR,DRYAMB,WEST 4LP,UE&C,WDCO,8/13/1969,1975,12/12/1975,8/30/1976,4/30/2025,3216,45,50,4.33,8.70%
5000333,DPR-59,James A. FitzPatrick Nuclear Power Plant,FitzPatrick,"Scriba, NY (6 MI NE of Oswego,  NY)",1,NY,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 1,GE 4,S&W,S&W,5/20/1970,1974,10/17/1974,7/28/1975,10/17/2034,2536,46,60,13.8,23.00%
5000348,NPF-2,"Joseph M. Farley Nuclear Plant, Unit 1",Farley 1,"Columbia, AL (18 MI E of Dothan,  AL)",2,AL,Southern Nuclear Operating Company,Southern Nuclear Operating Co.,www.southerncompany.com,PWR,DRYAMB,WEST 3LP,SSI,DANI,8/16/1972,1977,6/25/1977,12/1/1977,6/25/2037,2775,43,60,16.49,27.50%
5000364,NPF-8,"Joseph M. Farley Nuclear Plant, Unit 2",Farley 2,"Columbia, AL (18 MI E of Dothan,  AL)",2,AL,Southern Nuclear Operating Company,Southern Nuclear Operating Co.,www.southerncompany.com,PWR,DRYAMB,WEST 3LP,SSI,BECH,8/16/1972,1981,3/31/1981,7/30/1981,3/31/2041,2775,39,60,20.26,33.80%
5000373,NPF-11,"LaSalle County Station, Unit  1",La Salle 1,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 2,GE 5,S&L,CWE,9/10/1973,1982,4/17/1982,1/1/1984,4/17/2042,3546,38,60,21.31,35.50%
5000374,NPF-18,"LaSalle County Station, Unit  2",La Salle 2,"Marseilles, IL (11 MI SE of Ottawa,  IL)",3,IL,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 2,GE 5,S&L,CWE,9/10/1973,1983,12/16/1983,10/19/1984,12/16/2043,3546,37,60,22.97,38.30%
5000352,NPF-39,"Limerick Generating Station, Unit 1",Limerick 1,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,PA,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 2,GE 4,BECH,BECH,6/19/1974,1985,8/8/1985,2/1/1986,10/26/2044,3515,35,60,23.84,39.70%
5000353,NPF-85,"Limerick Generating Station, Unit 2",Limerick 2,"Limerick, PA (21 MI NW of Philadelphia,  PA)",1,PA,"Exelon Corporation, LLC","Exelon Generation Co., LLC",www.exeloncorp.com,BWR,MARK 2,GE 4,BECH,BECH,6/19/1974,1989,8/25/1989,1/8/1990,6/22/2049,3515,31,60,28.49,47.50%
5000369,NPF-9,"McGuire Nuclear Station, Unit 1",McGuire 1,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,NC,Duke Energy,"Duke Energy Carolinas, LLC",www.duke-energy.com,PWR,ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,1981,5/27/1981,12/1/1981,6/12/2041,3469,39,60,20.46,34.10%
5000370,NPF-17,"McGuire Nuclear Station, Unit 2",McGuire 2,"Huntersville, NC (17 MI N of Charlotte,  NC)",2,NC,Duke Energy,"Duke Energy Carolinas, LLC",www.duke-energy.com,PWR,ICECND,WEST 4LP,DUKE,DUKE,2/23/1973,1983,5/27/1983,3/1/1984,3/3/2043,3469,37,60,22.18,37.00%
